@image,Date,Work Title,Cat.,width,height,materials,Ownership,Price,Column2
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_86-18.jpg,1986,Early Snowstorm No.1,M,23.5,31,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_86-20.jpg,1986,Early Snowstorm No.3,M,14,18.5,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_86-21.jpg,1986,Oranges,O,24,18,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_86-22.jpg,1986,Green Sea Turf Fidden,C,18,24,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-01.jpg,1987,Winter Lake Shore No.1,M,28,36,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-02.jpg,1987,Winter Lake Shore No.2,M,18,20,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-03.jpg,1987,Fidden,C,9,12,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-05.jpg,1987,Scree Gully  Fairfield,M,24,18,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-06.jpg,1987,Fairfield the Way Up,M,28,36,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-07.jpg,1987,The Home Straight,M,28,36,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-09.jpg,1987,Erraid Mist,C,28,36,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-10.jpg,1987,Fidden after the Storm,C,18,24,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-11.jpg,1987,Crab Apple,O,18,24,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-12.jpg,1987,Trees at the Swimming Pool,O,38,26,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-13.jpg,1987,In the Wood,O,24,30,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-14.jpg,1987,Fidden Storm Clouds Brewing,C,23,28,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-15.jpg,1987,Cornish Memories,C,30,40,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-16.jpg,1987,Cemetery on Kintyre,O,28,32,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_87-17.jpg,1987,Kintyre Roots,O,18,21,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-01.jpg,1988,Poppies,O,36,28,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-02.jpg,1988,Lake Reflections No.1,O,28,36,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-03.jpg,1988,Lake Reflections No.2,O,40,30,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-04.jpg,1988,Low Water Fidden No.2,C,28,36,Acrylic on Canvas,Artist's Collection,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-05.jpg,1988,Low Water Fidden No.3,C,24,36,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-07.jpg,1988,Homage to Scafell,M,28,36,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-08.jpg,1988,East Coast Breaker No.1,C,18,24,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-09.jpg,1988,East Coast Breaker No.2,C,40,30,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-11.jpg,1988,Cornish Garden No.1  (Margo Maeckelberghe's Garden),O,18,24,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-12.jpg,1988,Cornish Garden No.2 (Margo Maeckelberghe's Garden),O,28,36,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-13.jpg,1988,St Ives Alley No.1,C,24,30,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-14.jpg,1988,St Ives Alley No.2,C,28,36,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-15.jpg,1988,"Treen, Balanced Rock",C,28,36,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-18.jpg,1988,Homage to Hepworth,O,30,40,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-19.jpg,1988,Gurnards Washing,C,30,40,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-20.jpg,1988,Cornish Garden No.3,O,30,24,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-21.jpg,1988,Sandra Sea Bed ,O,24,30,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-22.jpg,1988,Gable,M,24,30,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-23.jpg,1988,Granite Light Treen,C,30,40,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_88-24.jpg,1988,Gurnards Head from Treen,C,28,36,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_89-01.jpg,1989,Dollywaggon,M,23,28,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_89-02.jpg,1989,Fairfield Cloud,M,28,36,Oil on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_89-03.jpg,1989,Hepworth's Garden,O,24,30,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_89-04.jpg,1989,Winter Light No.1,M,23,28,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_89-05.jpg,1989,Winter Light No.2,M,18,24,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\WM_89-06.jpg,1989,Wet Snow,M,24,18,Oil on Canvas,Available,,.jpg
